registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-healthcheck-operator,3.24.5,sha256:5466ce40aea36dfdc3c82ff6ff2352a86885e6bda152b7a5f6f6ad6f378086b2,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.16,sha256:fd08381e21499096220b694246aa970d741f50ebc6ff742686f31c990dc73941,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.16,sha256:1b07b05ba0fe4ec2e2da82128a85b0d506ec4faf4183720748a94a5eab72527b,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,latest,sha256:c2e1af12b70331176cb875cbbbff5ab29014789dc7c6b952992ed3b5fb3fb678,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,4.6.16,sha256:ac3e8c16fa90095a9d9c76621f88283cfc74104ff933fd1decc98152d79c4fe8,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.16,sha256:dd02ff411a3345791add565a9fa938265e7bb6a91e7455d36236d79c8e2be80a,LIST,"","","",0,CASE,"",""
