registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/iaf-flink-operator,1.3.6-amd64,sha256:3d94167a7fe8877719f19f0002d12d8628d270bf2e9e34c7404abcceebb07fe1,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.6-s390x,sha256:074c58320ce22e57618286ee425384299594a9350de2ad351dd05925a538940b,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.6-ppc64le,sha256:a83666e608f0f522e00f3e8fa1a43957c86cbd74b33cab4c46d3b7271242790e,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.7-amd64,sha256:a8a5324999c1976c959d75a7b45cb1d4db6c22904943c0fe09eec31b6852eae6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.7-s390x,sha256:7f90f68f575ee28d12dd0e41ff09dbe1dfd43e866de54d78c565bddf43e31ace,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.7-ppc64le,sha256:d2c4d7dd379d1fba4af368cff96e82e51dd6ca0820072bda64f68dc68ea3ee70,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.8-amd64,sha256:2f2aaff689889e9d59070714ab89f2ac2ad62bfad894bda03e79961a663a1110,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.8-s390x,sha256:ab3e6df8921e6f00d937c9094b59df673e5af8ae6cb78eab214c77c492fe4f2e,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.8-ppc64le,sha256:9d414aae3688a6cfb13d636d48c3e4eb5dacc7c1a4ab76777fe8e44c21a75737,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.9-amd64,sha256:fe1aeabfc60ee4b55a0b8da53d968f67bfeead14616ad0ef10e9b4804d166b08,IMAGE,linux,amd64,"",0,CASE,"",""
